epoch,train_epoch_loss
0,3.2788385450839996
1,3.2631432488560677
2,3.254105783998966
3,3.2489291951060295
4,3.247231587767601
5,3.2404740750789642
6,3.2381634563207626
7,3.2326508909463882
8,3.230532743036747
